id,type,definition,inScheme,member,notation,note,prefLabel,topConceptOf,theme,belongsTo,hasTopConcept
https://data.omgeving.vlaanderen.be/id/collection/emissie/emissie,http://www.w3.org/2004/02/skos/core#Collection,Een type van een emissie,https://data.omgeving.vlaanderen.be/id/conceptscheme/emissie,https://data.omgeving.vlaanderen.be/id/concept/emissie/abnormale_emissie|https://data.omgeving.vlaanderen.be/id/concept/emissie/andere_niet_geleide_emissie|https://data.omgeving.vlaanderen.be/id/concept/emissie/diffuse_emissie|https://data.omgeving.vlaanderen.be/id/concept/emissie/doorzet_emissie|https://data.omgeving.vlaanderen.be/id/concept/emissie/fakkel_emissie|https://data.omgeving.vlaanderen.be/id/concept/emissie/fugitieve_emissie|https://data.omgeving.vlaanderen.be/id/concept/emissie/geleide_emissie|https://data.omgeving.vlaanderen.be/id/concept/emissie/lekverliezen,co_emissie,Een type van een emissie,Collectie types emissie lucht.,null,null,null,null
https://data.omgeving.vlaanderen.be/id/collection/emissie/lozingswijze,http://www.w3.org/2004/02/skos/core#Collection,Wijze waarop het water geloosd wordt.,https://data.omgeving.vlaanderen.be/id/conceptscheme/emissie,https://data.omgeving.vlaanderen.be/id/concept/lozingswijze/abnormalelozing|https://data.omgeving.vlaanderen.be/id/concept/lozingswijze/brutolozing|https://data.omgeving.vlaanderen.be/id/concept/lozingswijze/geleidelozing|https://data.omgeving.vlaanderen.be/id/concept/lozingswijze/grondwater|https://data.omgeving.vlaanderen.be/id/concept/lozingswijze/intern|https://data.omgeving.vlaanderen.be/id/concept/lozingswijze/irwzi|https://data.omgeving.vlaanderen.be/id/concept/lozingswijze/iwzi|https://data.omgeving.vlaanderen.be/id/concept/lozingswijze/nettolozing|https://data.omgeving.vlaanderen.be/id/concept/lozingswijze/oopw|https://data.omgeving.vlaanderen.be/id/concept/lozingswijze/ow_dir|https://data.omgeving.vlaanderen.be/id/concept/lozingswijze/ow_indir|https://data.omgeving.vlaanderen.be/id/concept/lozingswijze/rwa|https://data.omgeving.vlaanderen.be/id/concept/lozingswijze/rwzi|https://data.omgeving.vlaanderen.be/id/concept/lozingswijze/septischmateriaal,co_lozingswijze,Wijze waarop het water geloosd wordt.,Collectie lozingswijzen,null,null,null,null
https://data.omgeving.vlaanderen.be/id/collection/emissie/lozingswijze_imjv,http://www.w3.org/2004/02/skos/core#Collection,Lozingswijze zoals gedefinieerd in het Integraal Milieujaarverslag,https://data.omgeving.vlaanderen.be/id/conceptscheme/emissie,https://data.omgeving.vlaanderen.be/id/concept/lozingswijze_imjv/lozend|https://data.omgeving.vlaanderen.be/id/concept/lozingswijze_imjv/oppompend|https://data.omgeving.vlaanderen.be/id/concept/lozingswijze_imjv/transfer,co_lozingswijze_imjv,Lozingswijze zoals gedefinieerd in het Integraal Milieujaarverslag,Collectie lozingswijzen imjv.,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/emissie/abnormale_emissie,http://www.w3.org/2004/02/skos/core#Concept,null,https://data.omgeving.vlaanderen.be/id/conceptscheme/emissie,null,abnormale_emissie,null,Abnormale emissie,https://data.omgeving.vlaanderen.be/id/conceptscheme/emissie,http://www.eionet.europa.eu/gemet/concept/2895,null,null
https://data.omgeving.vlaanderen.be/id/concept/emissie/andere_niet_geleide_emissie,http://www.w3.org/2004/02/skos/core#Concept,null,https://data.omgeving.vlaanderen.be/id/conceptscheme/emissie,null,andere_niet_geleide_emissie,null,Andere niet-geleide emissie,https://data.omgeving.vlaanderen.be/id/conceptscheme/emissie,http://www.eionet.europa.eu/gemet/concept/2895,null,null
https://data.omgeving.vlaanderen.be/id/concept/emissie/diffuse_emissie,http://www.w3.org/2004/02/skos/core#Concept,"Emissies, in een andere vorm dan van afgassen, van vluchtige organische stoffen in lucht, bodem of water alsmede oplosmiddelen die zich in enig product bevinden. Hieronder zijn begrepen de niet-opgevangen emissies die via ramen, deuren, ventilatiekanalen, ontluchtingen en soortgelijke openingen in het milieu terechtkomen.",https://data.omgeving.vlaanderen.be/id/conceptscheme/emissie,null,diffuse_emissie,"Emissies, in een andere vorm dan van afgassen, van vluchtige organische stoffen in lucht, bodem of water alsmede oplosmiddelen die zich in enig product bevinden. Hieronder zijn begrepen de niet-opgevangen emissies die via ramen, deuren, ventilatiekanalen, ontluchtingen en soortgelijke openingen in het milieu terechtkomen.",Diffuse emissie,https://data.omgeving.vlaanderen.be/id/conceptscheme/emissie,http://www.eionet.europa.eu/gemet/concept/2895,null,null
https://data.omgeving.vlaanderen.be/id/concept/emissie/doorzet_emissie,http://www.w3.org/2004/02/skos/core#Concept,TO DO,https://data.omgeving.vlaanderen.be/id/conceptscheme/emissie,null,doorzet_emissie,TO DO,Doorzet emissie,https://data.omgeving.vlaanderen.be/id/conceptscheme/emissie,http://www.eionet.europa.eu/gemet/concept/2895,null,null
https://data.omgeving.vlaanderen.be/id/concept/emissie/fakkel_emissie,http://www.w3.org/2004/02/skos/core#Concept,TO DO,https://data.omgeving.vlaanderen.be/id/conceptscheme/emissie,null,fakkel_emissie,TO DO,Fakkel emissie,https://data.omgeving.vlaanderen.be/id/conceptscheme/emissie,http://www.eionet.europa.eu/gemet/concept/2895,null,null
https://data.omgeving.vlaanderen.be/id/concept/emissie/fugitieve_emissie,http://www.w3.org/2004/02/skos/core#Concept,De emissie van vluchtige organische stoffen (exclusief methaan) door lekverliezen van apparaten en leiding (onderdelen).,https://data.omgeving.vlaanderen.be/id/conceptscheme/emissie,null,fugitieve_emissie,De emissie van vluchtige organische stoffen (exclusief methaan) door lekverliezen van apparaten en leiding (onderdelen).,Fugitieve emissie,https://data.omgeving.vlaanderen.be/id/conceptscheme/emissie,http://www.eionet.europa.eu/gemet/concept/2895,null,null
https://data.omgeving.vlaanderen.be/id/concept/emissie/geleide_emissie,http://www.w3.org/2004/02/skos/core#Concept,"Emissies afkomstig van een schoorsteen waarvoor bepaalde fysische kenmerken bestaan (ligging, afmetingen) en waarvan het debiet kan worden bepaald.",https://data.omgeving.vlaanderen.be/id/conceptscheme/emissie,null,geleide_emissie,"Emissies afkomstig van een schoorsteen waarvoor bepaalde fysische kenmerken bestaan (ligging, afmetingen) en waarvan het debiet kan worden bepaald.",Geleide emissie,https://data.omgeving.vlaanderen.be/id/conceptscheme/emissie,http://www.eionet.europa.eu/gemet/concept/2895,null,null
https://data.omgeving.vlaanderen.be/id/concept/emissie/lekverliezen,http://www.w3.org/2004/02/skos/core#Concept,TO DO,https://data.omgeving.vlaanderen.be/id/conceptscheme/emissie,null,lekverliezen,TO DO,Lekverliezen,https://data.omgeving.vlaanderen.be/id/conceptscheme/emissie,http://www.eionet.europa.eu/gemet/concept/2895,null,null
https://data.omgeving.vlaanderen.be/id/concept/lozingswijze/abnormalelozing,http://www.w3.org/2004/02/skos/core#Concept,Lozing die gebeurt tijdens abnormale omstandigheden,https://data.omgeving.vlaanderen.be/id/conceptscheme/emissie,null,abnormalelozing,Lozing die gebeurt tijdens abnormale omstandigheden,Abnormale lozing,https://data.omgeving.vlaanderen.be/id/conceptscheme/emissie,http://www.eionet.europa.eu/gemet/concept/2895,null,null
https://data.omgeving.vlaanderen.be/id/concept/lozingswijze/brutolozing,http://www.w3.org/2004/02/skos/core#Concept,som van de geleide lozingen en de abnormale lozingen,https://data.omgeving.vlaanderen.be/id/conceptscheme/emissie,null,brutolozing,som van de geleide lozingen en de abnormale lozingen,Bruto lozing,https://data.omgeving.vlaanderen.be/id/conceptscheme/emissie,http://www.eionet.europa.eu/gemet/concept/2895,null,null
https://data.omgeving.vlaanderen.be/id/concept/lozingswijze/geleidelozing,http://www.w3.org/2004/02/skos/core#Concept,som van alle vrachten van lozingspunten van het type ‘Lozend’ en ‘Transfer’,https://data.omgeving.vlaanderen.be/id/conceptscheme/emissie,null,geleidelozing,som van alle vrachten van lozingspunten van het type ‘Lozend’ en ‘Transfer’,Geleide lozing,https://data.omgeving.vlaanderen.be/id/conceptscheme/emissie,http://www.eionet.europa.eu/gemet/concept/2895,null,null
https://data.omgeving.vlaanderen.be/id/concept/lozingswijze/grondwater,http://www.w3.org/2004/02/skos/core#Concept,Lozing in grondwater,https://data.omgeving.vlaanderen.be/id/conceptscheme/emissie,null,Grondwater,Lozing in grondwater,Grondwater,https://data.omgeving.vlaanderen.be/id/conceptscheme/emissie,http://www.eionet.europa.eu/gemet/concept/2895,null,null
https://data.omgeving.vlaanderen.be/id/concept/lozingswijze/intern,http://www.w3.org/2004/02/skos/core#Concept,Lozing in een exploitatie,https://data.omgeving.vlaanderen.be/id/conceptscheme/emissie,null,Intern,Lozing in een exploitatie,Intern,https://data.omgeving.vlaanderen.be/id/conceptscheme/emissie,http://www.eionet.europa.eu/gemet/concept/2895,null,null
https://data.omgeving.vlaanderen.be/id/concept/lozingswijze/irwzi,http://www.w3.org/2004/02/skos/core#Concept,Influent RWZI,https://data.omgeving.vlaanderen.be/id/conceptscheme/emissie,null,IRWZI,Influent RWZI,IRWZI,https://data.omgeving.vlaanderen.be/id/conceptscheme/emissie,http://www.eionet.europa.eu/gemet/concept/2895,null,null
https://data.omgeving.vlaanderen.be/id/concept/lozingswijze/iwzi,http://www.w3.org/2004/02/skos/core#Concept,Lozing naar industriële waterzuiveringsinstallatie,https://data.omgeving.vlaanderen.be/id/conceptscheme/emissie,null,IWZI,Lozing naar industriële waterzuiveringsinstallatie,IWZI,https://data.omgeving.vlaanderen.be/id/conceptscheme/emissie,http://www.eionet.europa.eu/gemet/concept/2895,null,null
https://data.omgeving.vlaanderen.be/id/concept/lozingswijze/nettolozing,http://www.w3.org/2004/02/skos/core#Concept,Bruto lozing min de som van alle vrachten van lozingspunten van het type ‘Oppompend’,https://data.omgeving.vlaanderen.be/id/conceptscheme/emissie,null,nettolozing,Bruto lozing min de som van alle vrachten van lozingspunten van het type ‘Oppompend’,Netto lozing,https://data.omgeving.vlaanderen.be/id/conceptscheme/emissie,http://www.eionet.europa.eu/gemet/concept/2895,null,null
https://data.omgeving.vlaanderen.be/id/concept/lozingswijze/oopw,http://www.w3.org/2004/02/skos/core#Concept,Opgenomen oppervlaktewater,https://data.omgeving.vlaanderen.be/id/conceptscheme/emissie,null,OOpw,Opgenomen oppervlaktewater,OOpw,https://data.omgeving.vlaanderen.be/id/conceptscheme/emissie,http://www.eionet.europa.eu/gemet/concept/2895,null,null
https://data.omgeving.vlaanderen.be/id/concept/lozingswijze/ow_dir,http://www.w3.org/2004/02/skos/core#Concept,Lozing direct in oppervlaktewater,https://data.omgeving.vlaanderen.be/id/conceptscheme/emissie,null,OW_DIR,Lozing direct in oppervlaktewater,OW DIR,https://data.omgeving.vlaanderen.be/id/conceptscheme/emissie,http://www.eionet.europa.eu/gemet/concept/2895,null,null
https://data.omgeving.vlaanderen.be/id/concept/lozingswijze/ow_indir,http://www.w3.org/2004/02/skos/core#Concept,Lozing op riolering die ongezuiverd loost in het oppervlaktewater,https://data.omgeving.vlaanderen.be/id/conceptscheme/emissie,null,OW_INDIR,Lozing op riolering die ongezuiverd loost in het oppervlaktewater,OW INDIR,https://data.omgeving.vlaanderen.be/id/conceptscheme/emissie,http://www.eionet.europa.eu/gemet/concept/2895,null,null
https://data.omgeving.vlaanderen.be/id/concept/lozingswijze/rwa,http://www.w3.org/2004/02/skos/core#Concept,Lozing in de een regenweerafvoer,https://data.omgeving.vlaanderen.be/id/conceptscheme/emissie,null,RWA,Lozing in de een regenweerafvoer,RWA,https://data.omgeving.vlaanderen.be/id/conceptscheme/emissie,http://www.eionet.europa.eu/gemet/concept/2895,null,null
https://data.omgeving.vlaanderen.be/id/concept/lozingswijze/rwzi,http://www.w3.org/2004/02/skos/core#Concept,Lozing op riolering die gezuiverd wordt in een publieke waterzuivering,https://data.omgeving.vlaanderen.be/id/conceptscheme/emissie,null,RWZI,Lozing op riolering die gezuiverd wordt in een publieke waterzuivering,RWZI,https://data.omgeving.vlaanderen.be/id/conceptscheme/emissie,http://www.eionet.europa.eu/gemet/concept/2895,null,null
https://data.omgeving.vlaanderen.be/id/concept/lozingswijze/septischmateriaal,http://www.w3.org/2004/02/skos/core#Concept,Aanvoer van septisch materiaal naar een RWZI,https://data.omgeving.vlaanderen.be/id/conceptscheme/emissie,null,SeptischMateriaal,Aanvoer van septisch materiaal naar een RWZI,Septisch Materiaal,https://data.omgeving.vlaanderen.be/id/conceptscheme/emissie,http://www.eionet.europa.eu/gemet/concept/2895,null,null
https://data.omgeving.vlaanderen.be/id/concept/lozingswijze_imjv/lozend,http://www.w3.org/2004/02/skos/core#Concept,Het water wordt geloosd in oppervlaktewater (rechtstreeks of via riolering die nog niet is aangesloten op een RWZI,https://data.omgeving.vlaanderen.be/id/conceptscheme/emissie,null,Lozend,Het water wordt geloosd in oppervlaktewater (rechtstreeks of via riolering die nog niet is aangesloten op een RWZI,Lozend,https://data.omgeving.vlaanderen.be/id/conceptscheme/emissie,http://www.eionet.europa.eu/gemet/concept/2895,null,null
https://data.omgeving.vlaanderen.be/id/concept/lozingswijze_imjv/oppompend,http://www.w3.org/2004/02/skos/core#Concept,Dit betreft oppervlaktewater dat wordt opgepompt,https://data.omgeving.vlaanderen.be/id/conceptscheme/emissie,null,Oppompend,Dit betreft oppervlaktewater dat wordt opgepompt,Oppompend,https://data.omgeving.vlaanderen.be/id/conceptscheme/emissie,http://www.eionet.europa.eu/gemet/concept/2895,null,null
https://data.omgeving.vlaanderen.be/id/concept/lozingswijze_imjv/transfer,http://www.w3.org/2004/02/skos/core#Concept,Het water wordt na het verlaten van het bedrijfsterrein nog gezuiverd in een openbare of industriële waterzuiveringsinstallatie,https://data.omgeving.vlaanderen.be/id/conceptscheme/emissie,null,Transfer,Het water wordt na het verlaten van het bedrijfsterrein nog gezuiverd in een openbare of industriële waterzuiveringsinstallatie,Transfer,https://data.omgeving.vlaanderen.be/id/conceptscheme/emissie,http://www.eionet.europa.eu/gemet/concept/2895,null,null
https://data.omgeving.vlaanderen.be/id/conceptscheme/emissie,http://www.w3.org/2004/02/skos/core#ConceptScheme,Een type van een emissie,null,null,emissie,Een type van een emissie,Codelijst emissietype.,null,null,https://data.omgeving.vlaanderen.be/id/dataset/codelijst-emissie,https://data.omgeving.vlaanderen.be/id/concept/emissie/abnormale_emissie|https://data.omgeving.vlaanderen.be/id/concept/emissie/andere_niet_geleide_emissie|https://data.omgeving.vlaanderen.be/id/concept/emissie/diffuse_emissie|https://data.omgeving.vlaanderen.be/id/concept/emissie/doorzet_emissie|https://data.omgeving.vlaanderen.be/id/concept/emissie/fakkel_emissie|https://data.omgeving.vlaanderen.be/id/concept/emissie/fugitieve_emissie|https://data.omgeving.vlaanderen.be/id/concept/emissie/geleide_emissie|https://data.omgeving.vlaanderen.be/id/concept/emissie/lekverliezen|https://data.omgeving.vlaanderen.be/id/concept/lozingswijze/abnormalelozing|https://data.omgeving.vlaanderen.be/id/concept/lozingswijze/brutolozing|https://data.omgeving.vlaanderen.be/id/concept/lozingswijze/geleidelozing|https://data.omgeving.vlaanderen.be/id/concept/lozingswijze/grondwater|https://data.omgeving.vlaanderen.be/id/concept/lozingswijze/intern|https://data.omgeving.vlaanderen.be/id/concept/lozingswijze/irwzi|https://data.omgeving.vlaanderen.be/id/concept/lozingswijze/iwzi|https://data.omgeving.vlaanderen.be/id/concept/lozingswijze/nettolozing|https://data.omgeving.vlaanderen.be/id/concept/lozingswijze/oopw|https://data.omgeving.vlaanderen.be/id/concept/lozingswijze/ow_dir|https://data.omgeving.vlaanderen.be/id/concept/lozingswijze/ow_indir|https://data.omgeving.vlaanderen.be/id/concept/lozingswijze/rwa|https://data.omgeving.vlaanderen.be/id/concept/lozingswijze/rwzi|https://data.omgeving.vlaanderen.be/id/concept/lozingswijze/septischmateriaal|https://data.omgeving.vlaanderen.be/id/concept/lozingswijze_imjv/lozend|https://data.omgeving.vlaanderen.be/id/concept/lozingswijze_imjv/oppompend|https://data.omgeving.vlaanderen.be/id/concept/lozingswijze_imjv/transfer
